area_type,availability,location,size,society,total_sqft,bath,balcony,price
2,1,Electronic City,5,1763,1500,2.0,1.0,64.5
3,1,Electronic City,3,1763,1060,2.0,1.0,60.0
3,1,Jai Bheema Nagar,5,1224,1470,2.0,2.0,70.0
2,1,Attibele,2,2590,450,1.0,1.0,11.0
2,0,Electronic City,3,1177,1152,2.0,1.0,64.5
2,1,Electronic City,5,1763,1350,2.0,1.0,56.0
2,1,CV Raman Nagar,5,1539,1550,3.0,3.0,65.0
2,1,Malleshwaram,2,1301,705,1.0,2.0,67.0
3,1,Electronic City,3,1763,770,1.0,1.0,36.0
2,1,Hulimavu,3,1887,1242,2.0,3.0,51.0
2,1,Hebbal Kempapura,5,280,1700,3.0,2.0,155.0
2,1,Thanisandra,5,398,2144,3.0,2.0,145.0
2,0,Vijayanagar,5,1031,1704,3.0,2.0,110.0
2,1,Electronic City,3,1763,1070,2.0,1.0,52.0
3,1,Electronic City,3,1763,1025,2.0,1.0,46.0
2,1,KR Puram,3,1586,1015 - 1540,2.0,0.0,56.8
2,1,Marathahalli,3,1859,1200,2.0,2.0,52.0
2,1,Pattandur Agrahara,5,911,1550,2.0,3.0,80.0
2,1,Marathahalli,3,1604,1200,2.0,2.0,60.0
2,1,Yelahanka,3,740,1327,2.0,2.0,98.0
2,1,HSR Layout,5,2072,1400,3.0,2.0,56.0
3,1,Whitefield,3,1587,1225,2.0,2.0,47.6
3,1,Kadugodi,5,1784,1260,2.0,2.0,54.0
2,1,Yelahanka,5,1798,1282,2.0,2.0,48.7
2,1,Kogilu,5,804,1909,3.0,2.0,88.0
2,1,Panathur,3,725,1359,2.0,1.0,87.0
2,1,Kammasandra,5,1381,1595,3.0,2.0,65.0
2,1,Electronics City Phase 1,5,961,1475,3.0,2.0,78.29
2,1,Tala Cauvery Layout,5,627,1580,3.0,3.0,100.0
2,1,Dasarahalli,3,1395,1295,2.0,1.0,65.0
2,1,Electronic City,2,2377,589,1.0,1.0,27.0
2,0,Sarjapur  Road,5,390,1787,3.0,2.0,98.29
2,1,Sarjapur  Road,5,390,1787,3.0,2.0,125.0
2,1,Koramangala,5,777,1475,2.0,3.0,90.0
2,0,Sarjapur  Road,3,1667,984,2.0,1.0,44.28
2,1,Muthurayya Swamy Layout,5,92,2405,4.0,2.0,260.0
3,1,7th Phase JP Nagar,3,887,1080,2.0,2.0,72.0
2,1,Budigere,3,1179,1153,2.0,2.0,56.4
2,1,Dodda Nekkundi Extension,3,808,1148,2.0,2.0,60.0
2,1,Mylasandra,3,2026,1110,2.0,2.0,55.0
3,1,Electronic City,3,2261,1100,2.0,2.0,42.0
2,1,Kalyan nagar,3,550,1290,2.0,2.0,110.0
2,0,Vijayanagar,5,709,1933,3.0,1.0,129.0
2,0,Chandapura,2,2556,645,1.0,1.0,16.45
2,0,Chandapura,2,2556,645,1.0,1.0,16.45
2,1,Ashwath Nagar,5,904,1644,3.0,3.0,84.0
2,1,Ncpr Industrial Layout,3,1124,1285,2.0,3.0,72.5
2,1,Electronic City,3,2282,910,2.0,1.0,40.0
2,1,Kothanur,5,1289,1577,3.0,1.0,70.0
1,0,Meenakunte,6,137,4050,3.0,2.0,280.0
2,1,OMBR Layout,5,376,2420,3.0,2.0,185.0
2,1,Chandapura,3,2580,800,1.0,1.0,20.0
2,1,7th Phase JP Nagar,3,463,1270,2.0,2.0,93.0
2,0,Electronic City,3,1177,1108,2.0,1.0,63.0
2,1,Coffee Board Layout,5,258,3045,3.0,2.0,170.0
1,1,Ambedkar Nagar,8,43,2900,3.0,2.0,300.0
2,1,Vijayanagar,5,1032,1500,3.0,2.0,75.5
2,1,Raja Rajeshwari Nagar,3,2017,1295,2.0,2.0,43.9
2,1,Budigere,3,1179,1162,2.0,1.0,59.9
2,1,Sarjapur  Road,3,2173,1035,2.0,2.0,49.2
3,1,Attibele,8,1817,1600,4.0,0.0,52.8
2,0,Hennur Road,5,1309,1866,2.0,2.0,61.58
2,1,Geleyara Balaga Layout,3,2557,700,1.0,1.0,26.0
2,1,Kalena Agrahara,5,307,1804,3.0,2.0,120.0
2,0,Talaghattapura,5,374,1868,3.0,2.0,131.0
2,1,Hegde Nagar,5,429,2026,3.0,2.0,132.0
2,1,Balagere,3,912,1210,2.0,1.0,80.9
1,1,Meenakunte,8,137,4111,4.0,2.0,250.0
2,1,Kadugodi,5,605,1762,3.0,3.0,91.45
2,1,Jigani,5,1768,1252,3.0,3.0,55.0
3,1,Gollarapalya Hosahalli,3,2007,861,2.0,1.0,34.5
3,1,7th Phase JP Nagar,5,887,1420,2.0,1.0,100.0
3,1,Electronics City Phase 1,5,1029,1490,3.0,1.0,78.8
2,0,Old Madras Road,5,1235,1425,2.0,2.0,94.0
3,1,Kalena Agrahara,3,2310,1200,2.0,1.0,40.0
2,1,Silver Springs Layout,3,1936,1084,2.0,2.0,50.0
2,0,Chandapura,3,2556,1015,2.0,2.0,25.88
2,0,Kanakpura Road,3,1482,1017,2.0,1.0,51.25
2,1,Electronic City Phase II,3,2135,1069,2.0,2.0,45.0
2,1,Hebbal,3,401,1349,2.0,1.0,98.2
2,1,9th Phase JP Nagar,3,2278,1005,2.0,1.0,50.0
2,1,Jakkur,3,991,1417,2.0,3.0,75.0
4,1,Maruthi Sevanagar,3,2112,950,2.0,2.0,47.0
2,1,RMV 2nd Stage,7,467,2000,4.0,0.0,120.0
2,1,Sarjapur  Road,7,748,1863,3.0,2.0,104.0
2,1,Singasandra,3,2436,1010,2.0,1.0,29.5
2,1,Kalena Agrahara,5,1212,1425,2.0,1.0,70.0
2,1,Vijayanagar,5,615,1450,3.0,0.0,100.0
2,1,Kothanur,5,566,1847,3.0,2.0,105.0
2,1,AECS Layout,3,2129,1100,2.0,3.0,45.0
2,0,Kanakpura Road,2,2062,525,1.0,1.0,26.0
2,1,Mallasandra,5,783,1665,3.0,2.0,95.0
2,1,Begur,7,1329,1664,4.0,3.0,65.0
2,1,JP Nagar,5,490,1850,3.0,3.0,150.0
2,1,Panathur,3,625,1438,2.0,3.0,100.0
2,1,Sunder Ram Shetty Nagar,5,512,1560,3.0,3.0,115.0
2,1,Kanakpura Road,5,1483,1550,3.0,3.0,67.0
2,1,Whitefield,3,739,1280,2.0,2.0,75.0
2,1,Motappa Layout,3,1692,1113,2.0,1.0,51.0
2,1,Hennur Road,3,1114,1385,2.0,1.0,83.09
2,0,Electronic City,3,1177,1128,2.0,1.0,65.0
2,1,Rajaji Nagar,5,58,2390,3.0,2.0,415.0
2,1,Haralur Road,5,1677,1464,3.0,2.0,56.0
2,1,Kaval Byrasandra,3,1843,1200,2.0,2.0,52.0
2,1,Kaggalipura,5,1877,1150,2.0,1.0,55.0
3,1,Basavanna Nagar,5,738,1645,3.0,2.0,95.0
2,1,6th Phase JP Nagar,3,736,1192,2.0,2.0,74.0
2,1,Ulsoor,5,211,2135,3.0,2.0,215.0
2,0,Whitefield,3,1295,1173,2.0,1.0,58.0
3,1,Uttarahalli,3,1827,1020,2.0,2.0,45.0
2,1,Thigalarapalya,7,277,3122,6.0,2.0,230.0
2,1, Devarachikkanahalli,3,2293,1250,2.0,2.0,40.0
2,1,Kalena Agrahara,3,801,1325,2.0,2.0,76.0
3,1,7th Phase JP Nagar,5,332,1850,3.0,1.0,150.0
2,0,Bommasandra,5,2181,1260,3.0,1.0,49.36
2,1,Prashanth Nagar,5,320,1800,3.0,0.0,150.0
1,0,Suragajakkanahalli,6,1110,11,3.0,2.0,74.0
3,1,Ardendale,3,2110,1100,2.0,1.0,43.25
2,1,Harlur,3,795,1508,2.0,1.0,77.0
4,1,Sampigehalli,5,1041,1592,3.0,2.0,75.0
2,1,Akshaya Nagar,3,1821,1388,2.0,3.0,57.0
2,0,Electronic City Phase II,2,1034,630,1.0,1.0,28.35
2,1,Kodihalli,7,67,3252,5.0,3.0,335.0
2,0,Magadi Road,3,1782,1116,2.0,1.0,50.0
2,1,Narayanapura,3,570,1308,2.0,2.0,89.04
2,1,Hennur,3,1673,1075,2.0,1.0,52.0
2,0,Chandapura,2,2520,530,1.0,0.0,11.66
2,1,5th Phase JP Nagar,3,1612,1075,2.0,2.0,60.0
3,1,KR Puram,3,2286,930,2.0,2.0,39.0
2,1,Balagere,3,1525,1380,2.0,1.0,60.0
2,1,Hebbal,7,401,2483,5.0,2.0,212.0
3,1,Kodigehaali,3,1474,1166,2.0,2.0,55.0
2,1,Bannerghatta Road,3,1370,1050,2.0,1.0,65.0
2,0,Gopalapura,5,86,2023.71,3.0,2.0,275.0
2,1,Begur Road,3,2049,1200,2.0,2.0,46.8
2,1,Lakshminarayana Pura,5,595,1600,2.0,1.0,108.0
2,1,Billekahalli,5,547,1935,3.0,2.0,110.0
2,0,8th Phase JP Nagar,2,2439,451,1.0,0.0,29.9
2,1,Electronic City,5,703,1800,3.0,2.0,95.0
2,0,Jalahalli,5,1004,1400,3.0,0.0,77.0
2,1,Hegde Nagar,5,429,1801,3.0,2.0,115.0
2,1,Begur Road,3,2049,1160,2.0,2.0,44.0
2,1,Kanakpura Road,3,1674,950,2.0,1.0,40.0
2,0,Vijayanagar,5,709,1826,3.0,2.0,121.0
3,1,7th Phase JP Nagar,3,489,1245,2.0,1.0,94.0
2,1,Raja Rajeshwari Nagar,3,2016,1145,2.0,2.0,45.79
2,1,Sompura,3,1965,825,2.0,1.0,33.0
2,0,Yeshwanthpur,5,613,1693,3.0,3.0,108.0
2,1,Electronics City Phase 1,3,1767,1113.27,2.0,2.0,53.0
3,1,Ashirvad Colony,3,963,1460,2.0,1.0,58.0
3,1,Doddathoguru,3,2487,1050,2.0,1.0,32.0
3,1,Dodda Nekkundi,3,1717,1260,2.0,2.0,55.0
3,1,Hosur Road,3,481,1656,2.0,1.0,120.0
2,1,Chandapura,5,2206,1208,3.0,1.0,45.0
2,1,Whitefield,5,399,1910,3.0,2.0,161.0
2,1,Whitefield,7,182,3252,4.0,1.0,230.0
2,1,7th Phase JP Nagar,3,463,1175,2.0,1.0,82.0
2,1,Rajaji Nagar,5,58,2390,3.0,2.0,410.0
2,1,Kengeri,3,2374,750,2.0,1.0,38.0
2,1,Kanakpura Road,5,1483,1550,3.0,3.0,64.5
3,1,Amco Colony,5,800,1760,3.0,2.0,88.0
2,1,Billekahalli,3,1418,1125,2.0,2.0,62.0
2,1,Budigere,5,1179,1991,4.0,2.0,103.0
2,0,Bommasandra,3,2461,1060,2.0,1.0,26.5
2,1,Ambalipura,3,455,1105,2.0,1.0,75.0
3,1,Hoodi,3,1297,985,2.0,2.0,67.0
2,0,Balagere,5,1134,1590,3.0,2.0,79.0
2,1,CV Raman Nagar,3,1539,1120,2.0,2.0,55.0
2,1,Samethanahalli,3,2105,1069,2.0,1.0,55.0
2,1,Marathahalli,5,333,1933,3.0,2.0,140.0
3,0,Hosur Road,3,608,1194,2.0,0.0,69.0
2,1,Brookefield,3,1249,1150,2.0,3.0,69.0
2,1,Raja Rajeshwari Nagar,3,2017,1419,2.0,2.0,48.1
2,1,Suddaguntepalya,5,1724,1450,3.0,2.0,55.0
2,0,Udayapur Village,5,1485,1630,3.0,2.0,68.29
2,1,Dasanapura,3,2119,708,1.0,1.0,40.0
2,1,Bellandur,3,878,1250,2.0,1.0,76.0
2,1,7th Phase JP Nagar,5,887,1400,2.0,1.0,95.0
2,1,Ardendale,5,677,1750,3.0,2.0,100.0
2,1,Vittasandra,3,1118,1404,2.0,1.0,71.0
2,1,Hoodi,5,733,1715,2.0,2.0,95.0
3,0,Electronic City,2,1177,630,1.0,1.0,34.65
2,1,Harlur,5,430,1752.12,3.0,2.0,135.0
2,1,Raja Rajeshwari Nagar,3,2017,1295,2.0,1.0,55.47
1,1,Giri Nagar,6,116,1800,3.0,2.0,252.0
2,0,Sarjapur  Road,3,732,1346,2.0,1.0,74.03
2,1,Hormavu,3,1754,1150,2.0,2.0,55.0
3,1,Chikkabidarakallu,8,82,3309,4.0,3.0,325.0
2,0,Chandapura,5,2556,1190,2.0,2.0,30.35
2,1,AECS Layout,5,877,1620,3.0,2.0,98.0
2,1,1 Giri Nagar,15,116,5000,9.0,3.0,360.0
2,1,Harlur,5,795,2450,3.0,0.0,120.0
2,0,Electronic City Phase II,5,2453,1220,2.0,1.0,35.23
2,1,Hoysalanagar,3,2481,850,2.0,1.0,30.0
2,1,Defence Colony,3,612,1150,2.0,2.0,126.0
2,0,Hebbal,5,483,1760,2.0,2.0,130.0
2,1,Amruthahalli,3,2522,900,2.0,1.0,40.0
2,0,Whitefield,3,2311,1130,2.0,1.0,42.16
2,1,Koramangala,3,193,1320,2.0,1.0,165.0
3,1,Patelappa Layout,3,1449,1200,2.0,1.0,62.0
2,1,Subramanyapura,3,1643,929,2.0,0.0,50.17
3,1,RMV 2nd Stage,7,136,1150,4.0,2.0,260.0
1,1,3rd Block Hrbr Layout,10,215,1200,5.0,2.0,190.0
2,1,Hebbal Kempapura,3,1550,1130,2.0,2.0,60.0
2,1,Surabhi Layout,5,552,1753,3.0,2.0,120.0
2,1,Old Madras Road,9,188,4500,7.0,3.0,337.0
2,0,Hoodi,3,611,1196,2.0,2.0,94.42
3,1,5th Phase JP Nagar,3,1838,1150,3.0,3.0,52.5
2,0,Electronic City,3,1177,1128,2.0,1.0,63.0
2,1,Omkar Nagar,3,1291,1000,2.0,1.0,53.0
2,1,Yelahanka,3,1779,1035,2.0,1.0,45.0
2,1,Bisuvanahalli,5,2270,1075,2.0,1.0,36.0
2,1,Whitefield,3,2227,1040,2.0,1.0,48.5
2,1,Lingadheeranahalli,5,494,1511,3.0,1.0,95.0
2,0,Hoodi,5,994,1545,3.0,1.0,68.75
2,1,JP Nagar,3,2441,1000,2.0,1.0,35.0
2,0,Kambipura,3,2174,883,2.0,1.0,45.0
2,0,Sarjapur  Road,3,954,1195,2.0,1.0,70.0
2,1,Vittasandra,3,1118,1246,2.0,1.0,67.0
2,0,Haralur Road,7,676,2805,5.0,3.0,154.0
2,1,VHBCS Layout,3,558,1353,2.0,2.0,110.0
2,0,Electronic City,5,1177,1599,3.0,2.0,125.0
2,1,Whitefield,3,1189,1150,2.0,1.0,70.0
2,0,Jakkur,7,31,5230,6.0,1.0,465.0
2,1,KR Puram,3,2244,1155,2.0,2.0,42.74
3,1,Rajiv Nagar,5,355,1867,3.0,1.0,160.0
2,0,Ramagondanahalli,3,1879,1251,2.0,1.0,47.0
2,0,Gattahalli,3,2115,1028,2.0,1.0,45.5
2,1,Arekere,3,2151,1222,2.0,2.0,45.0
2,1,Bannerghatta Road,5,962,1170,2.0,1.0,66.0
2,1,Hebbal,5,185,2400,4.0,1.0,245.0
2,1,HSR Layout,3,1003,1372,2.0,1.0,68.0
2,1,Magadi Road,5,1992,1282,2.0,2.0,49.0
2,1,Mico Layout,14,597,5000,9.0,3.0,210.0
2,1,Kanakpura Road,3,2349,1135,2.0,1.0,39.73
3,1,Byatarayanapura,5,776,1325,2.0,1.0,90.0
2,0,Electronic City,5,1177,1599,3.0,2.0,99.0
2,0,Hennur Road,3,883,1195 - 1440,2.0,0.0,63.77
2,1,Hebbal,5,65,3450,5.0,2.0,260.0
2,0,Munnekollal,3,1759,1102,2.0,2.0,53.67
2,1,Yelahanka,3,1778,1350,2.0,2.0,54.0
2,0,Kanakpura Road,2,2062,525,1.0,1.0,27.25
3,1,Attibele,3,2583,656,2.0,1.0,25.0
2,1,3rd Block Hrbr Layout,3,792,1056,2.0,1.0,80.0
2,0,Bannerghatta Road,2,1500,595,1.0,1.0,33.32
2,0,7th Phase JP Nagar,5,275,2225,3.0,1.0,160.0
2,0,Bommasandra,3,2461,1126,2.0,1.0,28.15
2,1,Electronics City Phase 1,5,1029,1490,3.0,1.0,84.0
2,1,Sarjapur  Road,5,675,1550,3.0,3.0,100.0
3,1,Whitefield,8,110,4144,4.0,3.0,315.0
2,1,Sarjapur  Road,5,423,2100,3.0,2.0,125.0
2,1,Vittasandra,3,1118,1404,2.0,1.0,69.3
1,1,Sarjapur  Road,8,166,2230,4.0,3.0,225.0
2,0,Banashankari Stage III,5,1584,1305,2.0,1.0,58.7
2,1,Marathahalli,3,942,1230,2.0,2.0,80.0
2,0,Hormavu,2,1422,715,1.0,2.0,46.0
2,1,Whitefield,5,37,2500,3.0,2.0,313.0
2,1,Dooravani Nagar,5,454,1578,3.0,1.0,180.0
2,1,Jigani,3,2306,1020,2.0,1.0,40.0
2,1,Koramangala,3,486,1253,2.0,1.0,102.0
2,1,JCR Layout,3,2275,1180,2.0,2.0,42.0
2,1,Nehru Nagar,3,2213,961,2.0,2.0,38.0
2,1,Harlur,5,351,1709,3.0,2.0,150.0
2,1,Sneha Colony,3,2133,1260,2.0,2.0,45.0
3,1,RMV Extension,5,964,1630,3.0,2.0,85.0
2,0,Sarjapur  Road,5,2277,1249,3.0,2.0,44.71
2,1,Kalena Agrahara,5,1035,1450,2.0,3.0,85.0
2,0,Konanakunte,5,66,2791,3.0,1.0,223.0
3,1,Ashwini layout,2,1498,834,1.0,1.0,60.0
3,1,Gottigere,3,2480,891,2.0,1.0,25.0
2,1,Raja Rajeshwari Nagar,3,2017,1133,2.0,1.0,49.07
3,1,Bisuvanahalli,5,2270,1075,2.0,1.0,37.0
2,1,Raja Rajeshwari Nagar,3,2260,1090,2.0,1.0,42.0
2,0,Hebbal,5,483,1920,3.0,2.0,134.0
3,1,HRBR Layout,3,689,1374,2.0,2.0,95.0
2,0,Kanakapura,2,1288,711,1.0,1.0,36.0
2,1,Tumkur Road,5,665,1500,3.0,3.0,95.0
2,1,Whitefield,5,739,1720,3.0,3.0,100.0
2,1,Mysore Road,3,723,1200,2.0,1.0,85.0
4,0,Hosahalli,5,1194,1375,3.0,2.0,70.0
2,1,Jalahalli,5,340,2250,3.0,2.0,160.0
2,1,Bellandur,3,1828,1000,2.0,2.0,50.0
2,1,Jalahalli West,2,2458,469,1.0,0.0,25.0
2,1,Marathahalli,7,224,3800,4.0,3.0,250.0
2,1,Kambipura,3,2174,883,2.0,1.0,29.0
2,1,GM Palaya,5,832,1820,2.0,3.0,86.0
3,1,Malleshwaram,7,83,2500,5.0,2.0,325.0
2,1,Jalahalli East,2,1977,750,1.0,2.0,40.0
2,1,Hosakerehalli,5,99,2378,3.0,1.0,262.0
2,1,Sarjapur,3,1420,1128,2.0,1.0,60.0
2,1,Hebbal,5,525,1500,3.0,1.0,150.0
2,0,Kanakpura Road,5,2062,1100,2.0,1.0,58.0
2,1,Bommasandra,5,2416,1200,3.0,2.0,46.0
2,1,Nagondanahalli,5,1697,1641,3.0,2.0,66.0
2,1,Raja Rajeshwari Nagar,3,972,1260,2.0,1.0,67.39
2,1,Yelahanka,3,1607,1120 - 1145,2.0,0.0,48.13
2,1,Yelahanka,3,1798,1210,2.0,1.0,45.98
2,1,Bisuvanahalli,5,2270,1075,2.0,1.0,45.0
3,1,Thanisandra,5,398,1702,3.0,2.0,130.0
2,1,Shanthala Nagar,3,179,1630,2.0,2.0,200.0
2,1,Raja Rajeshwari Nagar,3,2017,1141,2.0,2.0,38.55
3,0,Bettahalsoor,8,41,3090 - 5002,4.0,0.0,445.0
3,1,Yelahanka,5,406,35000,3.0,3.0,130.0
2,1,Ambedkar Colony,5,295,1875,3.0,2.0,165.0
1,1,Brookefield,6,360,1200,3.0,2.0,140.0
2,1,Whitefield,3,1269,1140,2.0,1.0,56.0
2,1,Lingadheeranahalli,5,494,1683,3.0,1.0,109.0
2,0,Hoodi,7,994,2118,4.0,2.0,111.0
3,1,Avalahalli,5,349,2300,3.0,3.0,120.0
2,1,Prakruthi Nagar,3,1556,1240,2.0,2.0,60.0
2,1,Surabhi Layout,5,552,1750,3.0,1.0,120.0
2,1,Abbigere,3,2335,985,2.0,1.0,40.39
1,1,Tindlu,6,823,1500,2.0,1.0,87.0
3,1,Maruthi Sevanagar,3,2112,950,2.0,1.0,44.0
3,0,Electronic City Phase II,3,2453,1090,2.0,1.0,28.34
2,0,Kammasandra,3,2568,810,2.0,2.0,24.5
2,1,Green Garden Layout,3,2164,1045,2.0,0.0,45.0
2,0,Hebbal,3,1406,1337,2.0,1.0,82.0
2,1,Koramangala,5,283,1580,3.0,2.0,160.0
2,1,Begur Road,5,2049,1500,2.0,3.0,54.0
2,0,Whitefield,5,876,1640,4.0,2.0,91.0
2,1,Silver Springs Layout,5,1465,1570,3.0,2.0,62.0
2,1,Gubbalala,5,594,1470,2.0,2.0,82.0
3,1,7th Phase JP Nagar,3,887,1050,2.0,1.0,71.0
2,0,Dairy Circle,5,77,1855,3.0,1.0,225.0
2,1,Bannerghatta Road,5,962,1460,2.0,1.0,90.0
2,1,Electronic City,3,2201,1094,2.0,2.0,42.0
2,1,Budigere,3,1179,1153,2.0,2.0,57.0
3,1,Hoysalanagar,5,1885,1325,3.0,1.0,57.0
3,1,Jakkur,5,447,1590,2.0,2.0,125.0
2,1,Narayana Nagar 1st Block,3,1478,1202,2.0,1.0,48.0
2,1,KSRTC Layout,3,1404,1200,2.0,3.0,62.5
2,0,Panathur,5,725,1688,3.0,1.0,118.0
3,1,Kaval Byrasandra,3,1855,1020,2.0,1.0,52.0
2,1,Sarjapur,3,2060,1185,2.0,2.0,47.0
2,0,Ramagondanahalli,3,1879,1235,2.0,1.0,52.04
2,1,Hosakerehalli,7,99,3205,5.0,1.0,500.0
2,1,Kengeri Satellite Town,5,1324,1415,2.0,3.0,66.0
2,0,EPIP Zone,5,298,2330,3.0,2.0,162.0
2,1,Whitefield,3,2238,805,2.0,2.0,35.0
2,1,Whitefield,3,1393,1155,2.0,3.0,59.95
3,1,New Gurappana Palya,3,2021,1100,2.0,0.0,48.0
2,1,Ambedkar Colony,3,295,1468,2.0,1.0,140.0
1,1,Palanahalli,8,33,4300,5.0,2.0,550.0
2,0,Whitefield,5,492,2280,4.0,2.0,126.0
